index,autonomous,lidar_filename,steering_angle,vehicle_speed,turn_signal,position_x,position_y,position_z,roll,pitch,yaw
2021-10-26 07:49:06.975329536,False,lidar\1635234546975329536.jpg,-0.32303646796496277,0.0,1.0,-8354.300272205603,-5678.2529573399415,65.86744617184004,-0.016077399565904323,-0.018665196610063908,1.9728843772717881
2021-10-26 07:49:07.083212800,False,lidar\1635234547083212800.jpg,-0.26592914131996453,0.0,1.0,-8354.30012465413,-5678.252911820513,65.86752005677134,-0.016053676527801063,-0.018599845649523005,1.972864187970316
2021-10-26 07:49:07.178526464,False,lidar\1635234547178526464.jpg,-0.1733368137837503,0.0,1.0,-8354.299996819856,-5678.252966966319,65.86765697077647,-0.016058433773096223,-0.018630708317984895,1.9727929142104121
2021-10-26 07:49:07.285127168,False,lidar\1635234547285127168.jpg,-0.07044235861825457,0.0,1.0,-8354.299899179043,-5678.253068714228,65.86773213948736,-0.016111839154056652,-0.018668068308730645,1.9727441127982168
2021-10-26 07:49:07.385634304,False,lidar\1635234547385634304.jpg,-0.005812050285023972,0.0,1.0,-8354.299827717392,-5678.252985899655,65.86766231857662,-0.01609978649156551,-0.01865242101446066,1.9727130568768494
2021-10-26 07:49:07.481345536,False,lidar\1635234547481345536.jpg,0.022529848658834613,0.0,1.0,-8354.299796056543,-5678.252904446445,65.86623828518879,-0.015958178070978934,-0.019204078519454833,1.9726128775738467
2021-10-26 07:49:07.578726656,False,lidar\1635234547578726656.jpg,0.03168790290312542,0.0,1.0,-8354.30035209886,-5678.251083119291,65.86241061199306,-0.015828539523455906,-0.02086272124309203,1.972622993657148
2021-10-26 07:49:07.684252672,False,lidar\1635234547684252672.jpg,0.04499907870783246,0.0,1.0,-8354.302519944338,-5678.245553657903,65.85841075451793,-0.01566891241972982,-0.022763330947560022,1.9726221539257176
2021-10-26 07:49:07.783390720,False,lidar\1635234547783390720.jpg,0.07393480894758364,0.0,1.0,-8354.306531537228,-5678.236122794291,65.85777683121772,-0.015819180295021197,-0.02352842471281778,1.9725319714256515
2021-10-26 07:49:07.884776192,False,lidar\1635234547884776192.jpg,0.11704715231788079,0.0,1.0,-8354.312742967299,-5678.2217105560185,65.85996011118513,-0.015916023144896093,-0.023363089435035057,1.9724753860143045
2021-10-26 07:49:07.983332864,False,lidar\1635234547983332864.jpg,0.11150252662106543,0.0,1.0,-8354.321161617607,-5678.20199116559,65.8617954931619,-0.016118802737969572,-0.023463260890089106,1.972516841336184
2021-10-26 07:49:08.084268800,False,lidar\1635234548084268800.jpg,0.0197383387827339,0.0,1.0,-8354.33285916643,-5678.174592639249,65.86187358032421,-0.016309765805415554,-0.024389908323542372,1.972702591478184
2021-10-26 07:49:08.185931776,False,lidar\1635234548185931776.jpg,-0.04306222719146974,0.36082684597048653,1.0,-8354.348446776059,-5678.138164097372,65.86154271268038,-0.016651957076578405,-0.025713309317135235,1.9728203412142766
2021-10-26 07:49:08.285871104,False,lidar\1635234548285871104.jpg,-0.04472451994091581,0.46705948069670317,1.0,-8354.36806747661,-5678.093155827244,65.86207826789496,-0.016579682925753264,-0.026760418441111395,1.9727270766344487
